Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
urdf_arm,-0.0174875527558622,0.00179910750290237,0.210012561233673,0,0,0,5.14039351525955,0.0499222359614081,-1.45737146282782E-06,0.000941479736923806,0.0373806752216079,-1.04144812553937E-05,0.0330605392668542,0,0,0,0,0,0,package://urdf_arm/meshes/urdf_arm.STL,1,0.168627450980392,0.168627450980392,1,0,0,0,0,0,0,package://urdf_arm/meshes/urdf_arm.STL,,torso-1,torso,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_arm_pitch,-0.000828036869570527,-0.0221807377225874,0.00145914525498181,0,0,0,0.18413596718146,0.00030820846006233,-3.38787209124798E-05,-4.35868313915032E-07,0.000119962851844466,-2.15026055530379E-06,0.000244415780049331,0,0,0,0,0,0,package://urdf_arm/meshes/l_arm_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_arm_pitch.STL,,l_arm_pitch-1,l_arm_pitch,l_arm_pitch_axis,l_arm_pitch,revolute,-0.0174999999999994,0.2927,0.31039624162447,0,0,0,urdf_arm,0,1,0,0,0,-3.14,1.57,,,,,,,,
l_arm_roll,-0.00791081502583302,-4.96921134152117E-06,-0.0454483133121535,0,0,0,0.207464613400312,0.000457439178313935,-4.58278097382517E-09,1.03161950452115E-05,0.000364197308404399,2.2443394457752E-08,0.00017446951099124,0,0,0,0,0,0,package://urdf_arm/meshes/l_arm_roll.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_arm_roll.STL,,l_arm_roll-1,l_arm_pitch,l_arm_roll_axis,l_arm_roll,revolute,0,0,0,0,0,0,l_arm_pitch,1,0,0,0,0,-0.349,2.09,,,,,,,,
l_arm_yaw,0.00628273945084577,0.0010686695168643,-0.207672767706963,0,0,0,0.481289525596781,0.00105282291023882,-1.06576401996613E-06,9.28124103755373E-05,0.001047234049051,-4.63917811736568E-06,0.000346148131521566,0,0,0,0,0,0,package://urdf_arm/meshes/l_arm_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_arm_yaw.STL,,l_arm_yaw-1,l_arm_pitch,r_arm_yaw,l_arm_yaw,revolute,0,0,0,0,0,0,l_arm_roll,0,0,-1,0,0,-1.518,1.518,,,,,,,,
l_foream,-0.0161081770518705,0.0014341951956906,-0.048559738798195,0,0,0,0.2234980315587,0.000378810354788798,-2.16486964427839E-07,-4.15629996863637E-05,0.000498964424337024,1.25133995027467E-07,0.000202125207411073,0,0,0,0,0,0,package://urdf_arm/meshes/l_foream.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_foream.STL,,l_foream-1,l_foream,l_foream_axis,l_foream,revolute,0.0199999999999956,0,-0.282596241624469,0,0,0,l_arm_yaw,0,-1,0,0,0,0,2.44,,,,,,,,
l_hand_yaw,-0.00207265357096991,0.000180849460126531,-0.0507949618718358,0,0,0,0.17513838759913,0.000227384843308136,2.26341283603265E-07,-2.2459745379831E-06,0.000195922865316427,1.59530474488699E-09,9.47040764933854E-05,0,0,0,0,0,0,package://urdf_arm/meshes/l_hand_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_hand_yaw.STL,,l_hand_yaw-2,l_hand_yaw,l_hand_yaw_axis,l_hand_yaw,revolute,-0.019999999999996,0,-0.127037274261587,0,0,0,l_foream,0,0,1,0,0,-1.518,1.518,,,,,,,,
l_hand_roll,-0.00111109841505431,0.00325853543002191,-0.0133761737277522,0,0,0,0.0840144468109417,2.64319545735977E-05,1.66499416484449E-07,2.31962316274296E-07,4.53647430396972E-05,-1.02153813459502E-06,3.38453744858053E-05,0,0,0,0,0,0,package://urdf_arm/meshes/l_hand_roll.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_hand_roll.STL,,l_hand_roll-1,l_hand_roll,l_hand_roll_axis,l_hand_roll,revolute,0.000199999999998968,0,-0.106462725738415,0,0,0,l_hand_yaw,-1,0,0,0,0,-0.698,1.309,,,,,,,,
l_hand_pitch,0.000257404394454982,0.58577225063004,-0.0800032554209467,0,0,0,0.128051594937832,4.95125209088465E-05,2.08655267137498E-09,-1.29921051281919E-09,7.22421194195814E-05,-3.91599991645418E-06,5.8386775532484E-05,0,0,0,0,0,0,package://urdf_arm/meshes/l_hand_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_hand_pitch.STL,,l_hand_pitch-2,r_hand_pitch,l_hand_pitch_axis,l_hand_pitch,revolute,-0.000200000000008405,-0.585399999999991,-0.0209999999999993,0,0,0,l_hand_roll,0,1,0,0,0,-0.698,0.698,,,,,,,,
l_f_bar-1,0.00725281758893256,7.30388859893072E-06,-0.010523758219822,0,0,0,0.00947618050885391,1.97634385843721E-06,-1.3072596586163E-10,7.8157059268262E-07,2.54904752635405E-06,1.77202474550192E-11,1.16562093364549E-06,0,0,0,0,0,0,package://urdf_arm/meshes/l_f_bar-1.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_f_bar-1.STL,,l_f_bar-1-1,l_f_bar-1,l_f_bar-1_axis,l_f_bar-1,continuous,0.0221999996097327,0.58489999999999,-0.1114,0,0,0,l_hand_pitch,0,1,0,,,,,,,,,,,,
l_f_bar-2,-0.00783155600629153,-3.80164700775065E-07,-0.0147534045072511,0,0,0,0.00339831329284512,4.22804474665052E-07,1.27436096288971E-11,-1.77709009390353E-07,4.35205518595516E-07,-1.01728637949474E-11,2.58474450728907E-07,0,0,0,0,0,0,package://urdf_arm/meshes/l_f_bar-2.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_f_bar-2.STL,,l_f_bar-2-1,l_f_bar-2,l_f_bar-2_axis,l_f_bar-2,continuous,0.0254380979411405,0,-0.0464962705293315,0,0,0,l_f_bar-1,0,1,0,,,,,,,,,,,,
